aucLog,aucRR,aucGNB,aucNN,aucDT
0.7460452293218427,0.7269873483435225,0.5158950853908818,0.7204336385040788,0.5299020992575065
0.7482042174421927,0.7231480830872847,0.513277362868584,0.7372562284028883,0.5396788031043229
0.7411157719420928,0.7168719762186924,0.5199697894655944,0.7280519929875632,0.5318924976856618
0.737377344819156,0.7187195249810946,0.5082239260980494,0.7160486822267366,0.5322877300382597
0.7376418080369026,0.7144939847712238,0.5134804167942139,0.7120651845029672,0.5323374417724565
0.7453974936662671,0.7243007921639106,0.5156063756734076,0.7202575016345627,0.5410592769384852
0.7473933292138938,0.7208496868631733,0.5069186320932152,0.723619181718489,0.5420620152656969
0.7500746948700335,0.7212619469118302,0.5142889579423944,0.7304375937162997,0.5442093900460535
0.7410453083971955,0.7198143268237844,0.5141256281102051,0.710538538949376,0.5383485770295352
0.7539686588796869,0.7321611391198434,0.507406819809168,0.7324410157086187,0.541455147105588
